time	seconds	group	step	event	name	number	text
15:07:30.979	54.599	1000BS	DECIDE	step started	DECIDE	0	
15:07:30.985	54.604	1000BS	DECIDE	census before	models	0	
15:07:30.986	54.606	1000BS	DECIDE	census before	sets	0	
15:07:30.987	54.607	1000BS	DECIDE	census before	tests	0	
15:07:30.989	54.608	1000BS	DECIDE	census before	results	0	
15:07:30.990	54.610	1000BS	DECIDE	census before	views	0	
15:07:31.686	55.306	1000BS		census after	models	2	
15:07:31.687	55.307	1000BS		census after	sets	61	
15:07:31.689	55.309	1000BS		census after	tests	21	
15:07:31.691	55.310	1000BS		census after	results	0	
15:07:31.692	55.312	1000BS		census after	views	12	
15:07:31.697	55.316	1000BS		step finished	DECIDE	0.702	Weekly run plus XML
15:07:31.706	55.325	1000BS	UNITS	step started	UNITS	0	
15:07:31.719	55.338	1000BS	UNITS	census before	models	2	
15:07:31.719	55.339	1000BS	UNITS	census before	sets	61	
15:07:31.720	55.339	1000BS	UNITS	census before	tests	21	
15:07:31.720	55.340	1000BS	UNITS	census before	results	0	
15:07:31.721	55.341	1000BS	UNITS	census before	views	12	
15:07:31.763	55.382	1000BS		census after	models	2	
15:07:31.764	55.383	1000BS		census after	sets	61	
15:07:31.764	55.384	1000BS		census after	tests	21	
15:07:31.766	55.385	1000BS		census after	results	0	
15:07:31.766	55.385	1000BS		census after	views	12	
15:07:31.768	55.388	1000BS		step finished	UNITS	0.057	the document was asked for Meters
15:07:31.793	55.413	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	684686.56	Community-2-BS1
15:07:31.793	55.413	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	688556.56	Community-2-BS2
15:07:31.840	55.459	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	53	1 workset(s), element id 100%
15:07:31.840	55.460	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	53	1 workset(s), element id 100%
15:07:31.845	55.465	1000BS	SETS	step started	SETS	0	
15:07:31.847	55.467	1000BS	SETS	census before	models	2	
15:07:31.848	55.468	1000BS	SETS	census before	sets	61	
15:07:31.849	55.468	1000BS	SETS	census before	tests	21	
15:07:31.849	55.469	1000BS	SETS	census before	results	0	
15:07:31.850	55.470	1000BS	SETS	census before	views	12	
15:07:32.152	55.772	1000BS		census after	models	2	
15:07:32.153	55.773	1000BS		census after	sets	61	
15:07:32.154	55.773	1000BS		census after	tests	21	
15:07:32.154	55.774	1000BS		census after	results	0	
15:07:32.155	55.775	1000BS		census after	views	12	
15:07:32.157	55.777	1000BS		step finished	SETS	0.307	0 created, 61 already there, 0 finding items, 0 at zero.
15:07:32.539	56.158	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Floors		lcop_selection_set_tree/Architecture/BLD-AR-Floors   asks for "Floors", WHICH MODELS IN THIS PROJECT DO CARRY, and still found nothing HERE. Either this group holds no model of that kind, which is ordinary, or something else is wrong, and this reader cannot tell which
15:07:32.540	56.159	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Stairs		lcop_selection_set_tree/Architecture/BLD-AR-Stairs   asks for "Stairs", WHICH MODELS IN THIS PROJECT DO CARRY, and still found nothing HERE. Either this group holds no model of that kind, which is ordinary, or something else is wrong, and this reader cannot tell which
15:07:32.541	56.160	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Ramps		lcop_selection_set_tree/Architecture/BLD-AR-Ramps   asks for "Ramps" and NO MODEL IN THIS PROJECT CARRIES IT, and nothing the models carry is close to it
15:07:32.541	56.161	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Roofs		lcop_selection_set_tree/Architecture/BLD-AR-Roofs   asks for "Roofs" and NO MODEL IN THIS PROJECT CARRIES IT. The nearest the models carry is "Doors", which is a suggestion and not a correction
15:07:32.542	56.161	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Columns		lcop_selection_set_tree/Architecture/BLD-AR-Columns   asks for "Columns" and NO MODEL IN THIS PROJECT CARRIES IT, and nothing the models carry is close to it
