time	seconds	group	step	event	name	number	text
09:24:18.809	50.129	1000BS	DECIDE	step started	DECIDE	0	
09:24:18.815	50.135	1000BS	DECIDE	census before	models	0	
09:24:18.816	50.136	1000BS	DECIDE	census before	sets	0	
09:24:18.817	50.137	1000BS	DECIDE	census before	tests	0	
09:24:18.819	50.139	1000BS	DECIDE	census before	results	0	
09:24:18.820	50.140	1000BS	DECIDE	census before	views	0	
09:24:18.860	50.180	1000BS		census after	models	0	
09:24:18.862	50.181	1000BS		census after	sets	0	
09:24:18.863	50.182	1000BS		census after	tests	0	
09:24:18.864	50.184	1000BS		census after	results	0	
09:24:18.865	50.185	1000BS		census after	views	0	
09:24:18.869	50.190	1000BS		step finished	DECIDE	0.05	First run
09:24:18.881	50.201	1000BS	APPEND	step started	APPEND	0	
09:24:18.883	50.204	1000BS	APPEND	census before	models	0	
09:24:18.884	50.204	1000BS	APPEND	census before	sets	0	
09:24:18.885	50.205	1000BS	APPEND	census before	tests	0	
09:24:18.886	50.206	1000BS	APPEND	census before	results	0	
09:24:18.886	50.207	1000BS	APPEND	census before	views	0	
09:24:18.968	50.288	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
09:24:19.007	50.327	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
09:24:19.086	50.407	1000BS		census after	models	2	
09:24:19.088	50.408	1000BS		census after	sets	0	
09:24:19.089	50.408	1000BS		census after	tests	0	
09:24:19.089	50.409	1000BS		census after	results	0	
09:24:19.090	50.410	1000BS		census after	views	12	
09:24:19.095	50.415	1000BS		step finished	APPEND	0.205	2 of 2 appended
09:24:19.097	50.417	1000BS	NWF SAVE	step started	NWF SAVE	0	
09:24:19.099	50.419	1000BS	NWF SAVE	census before	models	2	
09:24:19.100	50.420	1000BS	NWF SAVE	census before	sets	0	
09:24:19.100	50.421	1000BS	NWF SAVE	census before	tests	0	
09:24:19.101	50.421	1000BS	NWF SAVE	census before	results	0	
09:24:19.102	50.422	1000BS	NWF SAVE	census before	views	12	
09:24:19.177	50.497	1000BS	NWF SAVE	written	NWF	4066	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWF6\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
09:24:19.180	50.500	1000BS		census after	models	2	
09:24:19.181	50.500	1000BS		census after	sets	0	
09:24:19.182	50.501	1000BS		census after	tests	0	
09:24:19.182	50.502	1000BS		census after	results	0	
09:24:19.183	50.503	1000BS		census after	views	12	
09:24:19.185	50.505	1000BS		step finished	NWF SAVE	0.082	saved 4066 bytes
09:24:19.189	50.509	1000BS	UNITS	step started	UNITS	0	
