time	seconds	group	step	event	name	number	text
09:14:55.047	50.039	1000BS	DECIDE	step started	DECIDE	0	
09:14:55.054	50.046	1000BS	DECIDE	census before	models	0	
09:14:55.055	50.047	1000BS	DECIDE	census before	sets	0	
09:14:55.057	50.048	1000BS	DECIDE	census before	tests	0	
09:14:55.058	50.050	1000BS	DECIDE	census before	results	0	
09:14:55.059	50.051	1000BS	DECIDE	census before	views	0	
09:14:55.110	50.102	1000BS		census after	models	0	
09:14:55.111	50.104	1000BS		census after	sets	0	
09:14:55.112	50.105	1000BS		census after	tests	0	
09:14:55.113	50.106	1000BS		census after	results	0	
09:14:55.115	50.107	1000BS		census after	views	0	
09:14:55.119	50.112	1000BS		step finished	DECIDE	0.062	First run
09:14:55.131	50.123	1000BS	APPEND	step started	APPEND	0	
09:14:55.133	50.126	1000BS	APPEND	census before	models	0	
09:14:55.134	50.127	1000BS	APPEND	census before	sets	0	
09:14:55.135	50.128	1000BS	APPEND	census before	tests	0	
09:14:55.136	50.128	1000BS	APPEND	census before	results	0	
09:14:55.136	50.129	1000BS	APPEND	census before	views	0	
09:14:55.272	50.264	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
09:14:55.306	50.299	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
09:14:55.314	50.307	1000BS		census after	models	2	
09:14:55.315	50.308	1000BS		census after	sets	0	
09:14:55.316	50.308	1000BS		census after	tests	0	
09:14:55.317	50.309	1000BS		census after	results	0	
09:14:55.318	50.310	1000BS		census after	views	12	
09:14:55.322	50.315	1000BS		step finished	APPEND	0.183	2 of 2 appended
09:14:55.324	50.317	1000BS	NWF SAVE	step started	NWF SAVE	0	
09:14:55.327	50.319	1000BS	NWF SAVE	census before	models	2	
09:14:55.328	50.320	1000BS	NWF SAVE	census before	sets	0	
09:14:55.328	50.321	1000BS	NWF SAVE	census before	tests	0	
09:14:55.329	50.321	1000BS	NWF SAVE	census before	results	0	
09:14:55.330	50.322	1000BS	NWF SAVE	census before	views	12	
09:14:55.449	50.441	1000BS	NWF SAVE	written	NWF	4067	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWF5\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
09:14:55.451	50.444	1000BS		census after	models	2	
09:14:55.452	50.445	1000BS		census after	sets	0	
09:14:55.453	50.445	1000BS		census after	tests	0	
09:14:55.453	50.446	1000BS		census after	results	0	
09:14:55.454	50.447	1000BS		census after	views	12	
09:14:55.457	50.449	1000BS		step finished	NWF SAVE	0.127	saved 4067 bytes
09:14:55.461	50.453	1000BS	UNITS	step started	UNITS	0	
09:14:55.463	50.455	1000BS	UNITS	census before	models	2	
09:14:55.463	50.455	1000BS	UNITS	census before	sets	0	
09:14:55.464	50.456	1000BS	UNITS	census before	tests	0	
09:14:55.465	50.457	1000BS	UNITS	census before	results	0	
09:14:55.466	50.458	1000BS	UNITS	census before	views	12	
09:14:55.521	50.513	1000BS		census after	models	2	
09:14:55.522	50.514	1000BS		census after	sets	0	
09:14:55.522	50.515	1000BS		census after	tests	0	
09:14:55.524	50.516	1000BS		census after	results	0	
09:14:55.524	50.516	1000BS		census after	views	12	
09:14:55.527	50.518	1000BS		step finished	UNITS	0.044	the document was asked for Meters
09:14:55.531	50.523	1000BS	SETS	step started	SETS	0	
09:14:55.534	50.526	1000BS	SETS	census before	models	2	
09:14:55.534	50.527	1000BS	SETS	census before	sets	0	
09:14:55.534	50.528	1000BS	SETS	census before	tests	0	
09:14:55.536	50.528	1000BS	SETS	census before	results	0	
09:14:55.537	50.529	1000BS	SETS	census before	views	12	
09:14:55.768	50.760	1000BS		census after	models	2	
09:14:55.769	50.761	1000BS		census after	sets	61	
09:14:55.769	50.762	1000BS		census after	tests	0	
09:14:55.770	50.763	1000BS		census after	results	0	
09:14:55.771	50.763	1000BS		census after	views	12	
09:14:55.773	50.766	1000BS		step finished	SETS	0.236	61 created, 0 already there, 7 finding items, 54 at zero.
09:14:55.865	50.857	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
09:14:55.867	50.860	1000BS	TESTS CREATE	census before	models	2	
09:14:55.868	50.860	1000BS	TESTS CREATE	census before	sets	61	
