time	seconds	group	step	event	name	number	text
08:47:06.664	40.798	1000BS	DECIDE	step started	DECIDE	0	
08:47:06.670	40.804	1000BS	DECIDE	census before	models	0	
08:47:06.671	40.806	1000BS	DECIDE	census before	sets	0	
08:47:06.672	40.807	1000BS	DECIDE	census before	tests	0	
08:47:06.674	40.808	1000BS	DECIDE	census before	results	0	
08:47:06.675	40.810	1000BS	DECIDE	census before	views	0	
08:47:06.719	40.854	1000BS		census after	models	0	
08:47:06.721	40.855	1000BS		census after	sets	0	
08:47:06.723	40.856	1000BS		census after	tests	0	
08:47:06.724	40.858	1000BS		census after	results	0	
08:47:06.725	40.859	1000BS		census after	views	0	
08:47:06.728	40.863	1000BS		step finished	DECIDE	0.053	First run
08:47:06.740	40.875	1000BS	APPEND	step started	APPEND	0	
08:47:06.743	40.877	1000BS	APPEND	census before	models	0	
08:47:06.743	40.878	1000BS	APPEND	census before	sets	0	
08:47:06.744	40.878	1000BS	APPEND	census before	tests	0	
08:47:06.745	40.879	1000BS	APPEND	census before	results	0	
08:47:06.745	40.880	1000BS	APPEND	census before	views	0	
08:47:06.831	40.965	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
08:47:06.868	41.003	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
08:47:06.948	41.082	1000BS		census after	models	2	
08:47:06.949	41.083	1000BS		census after	sets	0	
08:47:06.950	41.084	1000BS		census after	tests	0	
08:47:06.951	41.085	1000BS		census after	results	0	
08:47:06.952	41.086	1000BS		census after	views	12	
08:47:06.957	41.091	1000BS		step finished	APPEND	0.137	2 of 2 appended
08:47:06.959	41.093	1000BS	NWF SAVE	step started	NWF SAVE	0	
08:47:06.961	41.095	1000BS	NWF SAVE	census before	models	2	
08:47:06.962	41.096	1000BS	NWF SAVE	census before	sets	0	
08:47:06.962	41.097	1000BS	NWF SAVE	census before	tests	0	
08:47:06.963	41.098	1000BS	NWF SAVE	census before	results	0	
08:47:06.964	41.098	1000BS	NWF SAVE	census before	views	12	
08:47:07.040	41.174	1000BS	NWF SAVE	written	NWF	4069	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWF3\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
08:47:07.042	41.177	1000BS		census after	models	2	
08:47:07.043	41.178	1000BS		census after	sets	0	
08:47:07.045	41.178	1000BS		census after	tests	0	
08:47:07.045	41.179	1000BS		census after	results	0	
08:47:07.045	41.180	1000BS		census after	views	12	
08:47:07.048	41.182	1000BS		step finished	NWF SAVE	0.083	saved 4069 bytes
08:47:07.051	41.186	1000BS	UNITS	step started	UNITS	0	
08:47:07.053	41.188	1000BS	UNITS	census before	models	2	
08:47:07.054	41.188	1000BS	UNITS	census before	sets	0	
08:47:07.055	41.189	1000BS	UNITS	census before	tests	0	
08:47:07.055	41.190	1000BS	UNITS	census before	results	0	
08:47:07.056	41.191	1000BS	UNITS	census before	views	12	
08:47:07.096	41.230	1000BS		census after	models	2	
08:47:07.097	41.231	1000BS		census after	sets	0	
08:47:07.097	41.232	1000BS		census after	tests	0	
08:47:07.099	41.233	1000BS		census after	results	0	
08:47:07.100	41.234	1000BS		census after	views	12	
08:47:07.102	41.236	1000BS		step finished	UNITS	0.044	the document was asked for Meters
08:47:07.108	41.241	1000BS	SETS	step started	SETS	0	
08:47:07.110	41.244	1000BS	SETS	census before	models	2	
08:47:07.111	41.244	1000BS	SETS	census before	sets	0	
08:47:07.111	41.245	1000BS	SETS	census before	tests	0	
08:47:07.112	41.246	1000BS	SETS	census before	results	0	
08:47:07.112	41.247	1000BS	SETS	census before	views	12	
08:47:07.343	41.477	1000BS		census after	models	2	
08:47:07.344	41.478	1000BS		census after	sets	61	
08:47:07.344	41.479	1000BS		census after	tests	0	
08:47:07.345	41.480	1000BS		census after	results	0	
08:47:07.346	41.480	1000BS		census after	views	12	
08:47:07.348	41.483	1000BS		step finished	SETS	0.237	61 created, 0 already there, 7 finding items, 54 at zero.
08:47:07.437	41.571	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
08:47:07.439	41.573	1000BS	TESTS CREATE	census before	models	2	
08:47:07.440	41.574	1000BS	TESTS CREATE	census before	sets	61	
08:47:07.440	41.575	1000BS	TESTS CREATE	census before	tests	0	
08:47:07.441	41.575	1000BS	TESTS CREATE	census before	results	0	
08:47:07.441	41.576	1000BS	TESTS CREATE	census before	views	12	
08:47:07.474	41.608	1000BS	TESTS CREATE	test created	BLD-AR-Walls-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.490	41.624	1000BS		census after	models	2	
08:47:07.490	41.625	1000BS		census after	sets	61	
08:47:07.491	41.625	1000BS		census after	tests	1	
08:47:07.492	41.626	1000BS		census after	results	0	
08:47:07.493	41.627	1000BS		census after	views	12	
08:47:07.495	41.629	1000BS		step finished	TESTS CREATE	0.053	BLD-AR-Walls-vs-BLD-AR-Ceilings
08:47:07.545	41.679	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.622	41.756	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.685	41.819	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.748	41.882	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.827	41.961	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.889	42.022	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:07.953	42.087	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.015	42.150	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.077	42.212	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.122	42.256	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.153	42.287	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.185	42.319	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.216	42.351	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.246	42.380	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.279	42.412	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.308	42.443	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.340	42.474	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.372	42.506	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.402	42.537	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.433	42.568	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Furniture	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:47:08.610	42.745	1000BS	VIEWS	step started	VIEWS	0	
08:47:08.613	42.747	1000BS	VIEWS	census before	models	2	
08:47:08.614	42.748	1000BS	VIEWS	census before	sets	61	
08:47:08.614	42.749	1000BS	VIEWS	census before	tests	21	
08:47:08.615	42.749	1000BS	VIEWS	census before	results	0	
08:47:08.616	42.750	1000BS	VIEWS	census before	views	12	
08:47:08.665	42.800	1000BS		census after	models	2	
08:47:08.666	42.800	1000BS		census after	sets	61	
08:47:08.667	42.801	1000BS		census after	tests	21	
08:47:08.668	42.802	1000BS		census after	results	0	
08:47:08.669	42.803	1000BS		census after	views	12	
08:47:08.672	42.806	1000BS		step finished	VIEWS	0.055	No viewpoint was planned for this group.
08:47:08.816	42.950	1000BS	NWF SAVE	written	NWF	13105	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWF3\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
08:47:08.822	42.957	1000BS	WORKBOOK	step started	WORKBOOK	0	
08:47:08.825	42.959	1000BS	WORKBOOK	census before	models	2	
08:47:08.825	42.960	1000BS	WORKBOOK	census before	sets	61	
08:47:08.827	42.961	1000BS	WORKBOOK	census before	tests	21	
08:47:08.828	42.961	1000BS	WORKBOOK	census before	results	0	
08:47:08.828	42.962	1000BS	WORKBOOK	census before	views	12	
08:47:15.864	49.998	1000BS	WORKBOOK	written	XLSX	471819	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\Excel\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.xlsx
08:47:16.938	51.072	1000BS		census after	models	2	
08:47:16.939	51.073	1000BS		census after	sets	61	
08:47:16.939	51.074	1000BS		census after	tests	21	
08:47:16.940	51.074	1000BS		census after	results	0	
08:47:16.941	51.075	1000BS		census after	views	12	
08:47:16.943	51.077	1000BS		step finished	WORKBOOK	8.115	wrote 471819 bytes
08:47:16.945	51.080	1000BS	HTML	step started	HTML	0	
08:47:16.949	51.082	1000BS	HTML	census before	models	2	
08:47:16.949	51.083	1000BS	HTML	census before	sets	61	
08:47:16.950	51.084	1000BS	HTML	census before	tests	21	
08:47:16.951	51.084	1000BS	HTML	census before	results	0	
08:47:16.951	51.085	1000BS	HTML	census before	views	12	
08:47:17.083	51.218	1000BS	HTML	written	HTML	2683307	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\Excel\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.html
08:47:17.235	51.369	1000BS		census after	models	2	
08:47:17.236	51.370	1000BS		census after	sets	61	
08:47:17.237	51.371	1000BS		census after	tests	21	
08:47:17.237	51.371	1000BS		census after	results	0	
08:47:17.238	51.372	1000BS		census after	views	12	
08:47:17.240	51.374	1000BS		step finished	HTML	0.289	wrote 2683307 bytes
08:47:17.244	51.378	1000BS	NWD	step started	NWD	0	
08:47:17.246	51.381	1000BS	NWD	census before	models	2	
08:47:17.247	51.381	1000BS	NWD	census before	sets	61	
08:47:17.248	51.382	1000BS	NWD	census before	tests	21	
08:47:17.248	51.383	1000BS	NWD	census before	results	0	
08:47:17.249	51.383	1000BS	NWD	census before	views	12	
08:47:17.422	51.556	1000BS	NWD	written	NWD	249743	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWD\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwd
08:47:17.425	51.559	1000BS		census after	models	2	
08:47:17.425	51.560	1000BS		census after	sets	61	
08:47:17.427	51.561	1000BS		census after	tests	21	
08:47:17.427	51.561	1000BS		census after	results	0	
08:47:17.428	51.562	1000BS		census after	views	12	
08:47:17.431	51.565	1000BS		step finished	NWD	0.18	published 249743 bytes
08:47:17.434	51.568	1000BS	CONFIRM	step started	CONFIRM	0	
08:47:17.437	51.571	1000BS	CONFIRM	census before	models	2	
08:47:17.438	51.572	1000BS	CONFIRM	census before	sets	61	
08:47:17.438	51.572	1000BS	CONFIRM	census before	tests	21	
08:47:17.439	51.573	1000BS	CONFIRM	census before	results	0	
08:47:17.440	51.574	1000BS	CONFIRM	census before	views	12	
08:47:17.502	51.637	1000BS		census after	models	2	
