time	seconds	group	step	event	name	number	text
14:05:15.022	87.487	1000BS	DECIDE	step started	DECIDE	0	
14:05:15.027	87.493	1000BS	DECIDE	census before	models	0	
14:05:15.029	87.494	1000BS	DECIDE	census before	sets	0	
14:05:15.030	87.495	1000BS	DECIDE	census before	tests	0	
14:05:15.031	87.496	1000BS	DECIDE	census before	results	0	
14:05:15.032	87.498	1000BS	DECIDE	census before	views	0	
14:05:15.062	87.527	1000BS		census after	models	0	
14:05:15.064	87.529	1000BS		census after	sets	0	
14:05:15.065	87.530	1000BS		census after	tests	0	
14:05:15.066	87.532	1000BS		census after	results	0	
14:05:15.067	87.532	1000BS		census after	views	0	
14:05:15.071	87.537	1000BS		step finished	DECIDE	0.039	First run
14:05:15.081	87.547	1000BS	APPEND	step started	APPEND	0	
14:05:15.083	87.549	1000BS	APPEND	census before	models	0	
14:05:15.084	87.550	1000BS	APPEND	census before	sets	0	
14:05:15.085	87.550	1000BS	APPEND	census before	tests	0	
14:05:15.085	87.551	1000BS	APPEND	census before	results	0	
14:05:15.086	87.552	1000BS	APPEND	census before	views	0	
14:05:15.157	87.623	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
14:05:15.248	87.714	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
14:05:15.256	87.722	1000BS		census after	models	2	
14:05:15.257	87.723	1000BS		census after	sets	0	
14:05:15.258	87.723	1000BS		census after	tests	0	
14:05:15.258	87.724	1000BS		census after	results	0	
14:05:15.259	87.725	1000BS		census after	views	12	
14:05:15.263	87.729	1000BS		step finished	APPEND	0.174	2 of 2 appended
14:05:15.266	87.731	1000BS	NWF SAVE	step started	NWF SAVE	0	
14:05:15.268	87.733	1000BS	NWF SAVE	census before	models	2	
