time	seconds	group	step	event	name	number	text
08:51:41.081	36.037	1A0415	DECIDE	step started	DECIDE	0	
08:51:41.087	36.042	1A0415	DECIDE	census before	models	0	
08:51:41.088	36.044	1A0415	DECIDE	census before	sets	0	
08:51:41.089	36.045	1A0415	DECIDE	census before	tests	0	
08:51:41.091	36.046	1A0415	DECIDE	census before	results	0	
08:51:41.092	36.048	1A0415	DECIDE	census before	views	0	
08:51:41.116	36.071	1A0415		census after	models	0	
08:51:41.118	36.073	1A0415		census after	sets	0	
08:51:41.119	36.075	1A0415		census after	tests	0	
08:51:41.120	36.076	1A0415		census after	results	0	
08:51:41.120	36.077	1A0415		census after	views	0	
08:51:41.126	36.081	1A0415		step finished	DECIDE	0.033	First run
08:51:41.135	36.091	1A0415	APPEND	step started	APPEND	0	
08:51:41.138	36.093	1A0415	APPEND	census before	models	0	
08:51:41.139	36.094	1A0415	APPEND	census before	sets	0	
08:51:41.139	36.095	1A0415	APPEND	census before	tests	0	
08:51:41.140	36.096	1A0415	APPEND	census before	results	0	
08:51:41.141	36.097	1A0415	APPEND	census before	views	0	
08:51:41.310	36.266	1A0415	APPEND	appended	APPEND	24046224	C:\\00-NM\\Federation Task\\C02 + 04\\C04\\NWC\\1104-PAR-1A0415-ZZZ-LS-MOD-000001.nwc
08:51:41.353	36.308	1A0415	APPEND	appended	APPEND	115490	C:\\00-NM\\Federation Task\\C02 + 04\\C04\\NWC\\1104-PAR-1A0415-ZZZ-LT-MOD-000001.nwc
08:51:41.396	36.352	1A0415	APPEND	appended	APPEND	3228413	C:\\00-NM\\Federation Task\\C02 + 04\\C04\\NWC\\1104-PAR-1A0415-ZZZ-SW-MOD-000001.nwc
08:51:41.408	36.364	1A0415		census after	models	3	
08:51:41.408	36.364	1A0415		census after	sets	0	
08:51:41.409	36.365	1A0415		census after	tests	0	
08:51:41.410	36.366	1A0415		census after	results	0	
08:51:41.411	36.367	1A0415		census after	views	18	
08:51:41.458	36.413	1A0415		step finished	APPEND	0.271	3 of 3 appended
08:51:41.460	36.416	1A0415	NWF SAVE	step started	NWF SAVE	0	
08:51:41.462	36.418	1A0415	NWF SAVE	census before	models	3	
08:51:41.463	36.419	1A0415	NWF SAVE	census before	sets	0	
08:51:41.464	36.420	1A0415	NWF SAVE	census before	tests	0	
08:51:41.465	36.420	1A0415	NWF SAVE	census before	results	0	
08:51:41.466	36.421	1A0415	NWF SAVE	census before	views	18	
08:51:41.512	36.468	1A0415	NWF SAVE	written	NWF	3962	C:\\00-NM\\Federation Task\\C02 + 04\\C04\\NWF\\1104-PAR-1A0415-ZZZ-BM-MOD-000001.nwf
08:51:41.516	36.472	1A0415		census after	models	3	
08:51:41.517	36.472	1A0415		census after	sets	0	
08:51:41.517	36.473	1A0415		census after	tests	0	
08:51:41.518	36.474	1A0415		census after	results	0	
08:51:41.519	36.474	1A0415		census after	views	18	
08:51:41.521	36.477	1A0415		step finished	NWF SAVE	0.054	saved 3962 bytes
08:51:41.525	36.480	1A0415	UNITS	step started	UNITS	0	
08:51:41.527	36.483	1A0415	UNITS	census before	models	3	
08:51:41.528	36.483	1A0415	UNITS	census before	sets	0	
08:51:41.528	36.484	1A0415	UNITS	census before	tests	0	
08:51:41.530	36.485	1A0415	UNITS	census before	results	0	
08:51:41.530	36.485	1A0415	UNITS	census before	views	18	
08:51:41.616	36.571	1A0415		census after	models	3	
08:51:41.617	36.572	1A0415		census after	sets	0	
08:51:41.617	36.573	1A0415		census after	tests	0	
08:51:41.618	36.574	1A0415		census after	results	0	
08:51:41.619	36.574	1A0415		census after	views	18	
08:51:41.621	36.576	1A0415		step finished	UNITS	0.091	the document was asked for Meters
08:51:41.661	36.616	1A0415		model placement	1104-PAR-1A0415-ZZZ-LS-MOD-000001.nwc	675666.8	Mukaab
08:51:41.662	36.617	1A0415		model placement	1104-PAR-1A0415-ZZZ-LT-MOD-000001.nwc	675666.8	Default Site
08:51:41.662	36.618	1A0415		model placement	1104-PAR-1A0415-ZZZ-SW-MOD-000001.nwc	675666.8	Default Site
08:51:41.880	36.836	1A0415		model export	1104-PAR-1A0415-ZZZ-LS-MOD-000001.nwc	4668	3 workset(s), element id 100%
08:51:41.881	36.837	1A0415		model export	1104-PAR-1A0415-ZZZ-LT-MOD-000001.nwc	219	1 workset(s), element id 100%
08:51:41.881	36.838	1A0415		model export	1104-PAR-1A0415-ZZZ-SW-MOD-000001.nwc	161	2 workset(s), element id 100%
08:51:41.887	36.842	1A0415	SETS	step started	SETS	0	
08:51:41.889	36.844	1A0415	SETS	census before	models	3	
08:51:41.890	36.845	1A0415	SETS	census before	sets	0	
08:51:41.891	36.846	1A0415	SETS	census before	tests	0	
08:51:41.891	36.847	1A0415	SETS	census before	results	0	
08:51:41.892	36.847	1A0415	SETS	census before	views	18	
08:51:42.706	37.662	1A0415		census after	models	3	
08:51:42.707	37.662	1A0415		census after	sets	61	
08:51:42.708	37.663	1A0415		census after	tests	0	
08:51:42.708	37.664	1A0415		census after	results	0	
08:51:42.709	37.665	1A0415		census after	views	18	
08:51:42.711	37.667	1A0415		step finished	SETS	0.818	61 created, 0 already there, 3 finding items, 58 at zero.
08:51:42.843	37.799	1A0415	TESTS CREATE	step started	TESTS CREATE	0	
08:51:42.846	37.802	1A0415	TESTS CREATE	census before	models	3	
08:51:42.847	37.803	1A0415	TESTS CREATE	census before	sets	61	
08:51:42.848	37.803	1A0415	TESTS CREATE	census before	tests	0	
08:51:42.849	37.804	1A0415	TESTS CREATE	census before	results	0	
08:51:42.849	37.805	1A0415	TESTS CREATE	census before	views	18	
08:51:42.868	37.824	1A0415	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Furniture	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
08:51:42.875	37.830	1A0415		census after	models	3	
08:51:42.876	37.831	1A0415		census after	sets	61	
08:51:42.876	37.832	1A0415		census after	tests	1	
08:51:42.877	37.832	1A0415		census after	results	0	
08:51:42.878	37.833	1A0415		census after	views	18	
08:51:42.880	37.835	1A0415		step finished	TESTS CREATE	0.038	BLD-AR-Site-vs-BLD-AR-Furniture
08:51:42.883	37.839	1A0415	TESTS RUN	step started	TESTS RUN	0	
08:51:42.885	37.841	1A0415	TESTS RUN	census before	models	3	
08:51:42.886	37.842	1A0415	TESTS RUN	census before	sets	61	
08:51:42.887	37.842	1A0415	TESTS RUN	census before	tests	1	
08:51:42.887	37.843	1A0415	TESTS RUN	census before	results	0	
08:51:42.888	37.844	1A0415	TESTS RUN	census before	views	18	
08:51:42.934	37.890	1A0415		census after	models	3	
08:51:42.935	37.890	1A0415		census after	sets	61	
08:51:42.936	37.891	1A0415		census after	tests	1	
08:51:42.936	37.892	1A0415		census after	results	0	
08:51:42.937	37.893	1A0415		census after	views	18	
08:51:42.939	37.895	1A0415		step finished	TESTS RUN	0.05	BLD-AR-Site-vs-BLD-AR-Furniture
08:51:42.945	37.901	1A0415	HARVEST	step started	HARVEST	0	
08:51:42.948	37.903	1A0415	HARVEST	census before	models	3	
08:51:42.949	37.904	1A0415	HARVEST	census before	sets	61	
08:51:42.949	37.904	1A0415	HARVEST	census before	tests	1	
08:51:42.949	37.905	1A0415	HARVEST	census before	results	0	
08:51:42.951	37.906	1A0415	HARVEST	census before	views	18	
08:51:42.970	37.925	1A0415		census after	models	3	
08:51:42.971	37.926	1A0415		census after	sets	61	
