time	seconds	group	step	event	name	number	text
11:34:02.226	50.092	1000BS	DECIDE	step started	DECIDE	0	
11:34:02.231	50.097	1000BS	DECIDE	census before	models	0	
11:34:02.233	50.099	1000BS	DECIDE	census before	sets	0	
11:34:02.234	50.100	1000BS	DECIDE	census before	tests	0	
11:34:02.236	50.102	1000BS	DECIDE	census before	results	0	
11:34:02.237	50.103	1000BS	DECIDE	census before	views	0	
11:34:02.283	50.149	1000BS		census after	models	0	
11:34:02.284	50.151	1000BS		census after	sets	0	
11:34:02.286	50.152	1000BS		census after	tests	0	
11:34:02.288	50.154	1000BS		census after	results	0	
11:34:02.288	50.155	1000BS		census after	views	0	
11:34:02.293	50.160	1000BS		step finished	DECIDE	0.056	First run
11:34:02.307	50.173	1000BS	APPEND	step started	APPEND	0	
11:34:02.310	50.176	1000BS	APPEND	census before	models	0	
11:34:02.311	50.176	1000BS	APPEND	census before	sets	0	
11:34:02.311	50.177	1000BS	APPEND	census before	tests	0	
11:34:02.312	50.178	1000BS	APPEND	census before	results	0	
11:34:02.313	50.178	1000BS	APPEND	census before	views	0	
11:34:02.372	50.238	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
11:34:02.410	50.276	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
11:34:02.419	50.284	1000BS		census after	models	2	
11:34:02.420	50.285	1000BS		census after	sets	0	
11:34:02.420	50.286	1000BS		census after	tests	0	
11:34:02.421	50.287	1000BS		census after	results	0	
11:34:02.422	50.288	1000BS		census after	views	12	
11:34:02.426	50.292	1000BS		step finished	APPEND	0.11	2 of 2 appended
11:34:02.428	50.294	1000BS	NWF SAVE	step started	NWF SAVE	0	
11:34:02.430	50.296	1000BS	NWF SAVE	census before	models	2	
11:34:02.431	50.297	1000BS	NWF SAVE	census before	sets	0	
11:34:02.432	50.298	1000BS	NWF SAVE	census before	tests	0	
11:34:02.433	50.298	1000BS	NWF SAVE	census before	results	0	
11:34:02.433	50.299	1000BS	NWF SAVE	census before	views	12	
11:34:02.555	50.421	1000BS	NWF SAVE	written	NWF	4062	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-dimming\\NWF3\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
11:34:02.557	50.424	1000BS		census after	models	2	
11:34:02.558	50.424	1000BS		census after	sets	0	
11:34:02.559	50.425	1000BS		census after	tests	0	
11:34:02.559	50.426	1000BS		census after	results	0	
11:34:02.560	50.427	1000BS		census after	views	12	
11:34:02.562	50.429	1000BS		step finished	NWF SAVE	0.129	saved 4062 bytes
11:34:02.583	50.449	1000BS	UNITS	step started	UNITS	0	
11:34:02.585	50.451	1000BS	UNITS	census before	models	2	
11:34:02.586	50.452	1000BS	UNITS	census before	sets	0	
11:34:02.587	50.452	1000BS	UNITS	census before	tests	0	
11:34:02.587	50.453	1000BS	UNITS	census before	results	0	
11:34:02.588	50.454	1000BS	UNITS	census before	views	12	
11:34:02.616	50.482	1000BS		census after	models	2	
11:34:02.617	50.483	1000BS		census after	sets	0	
11:34:02.617	50.483	1000BS		census after	tests	0	
11:34:02.618	50.484	1000BS		census after	results	0	
11:34:02.619	50.485	1000BS		census after	views	12	
11:34:02.621	50.487	1000BS		step finished	UNITS	0.05	the document was asked for Meters
11:34:02.625	50.492	1000BS	SETS	step started	SETS	0	
11:34:02.628	50.494	1000BS	SETS	census before	models	2	
11:34:02.629	50.495	1000BS	SETS	census before	sets	0	
11:34:02.629	50.495	1000BS	SETS	census before	tests	0	
11:34:02.630	50.496	1000BS	SETS	census before	results	0	
11:34:02.631	50.497	1000BS	SETS	census before	views	12	
11:34:02.835	50.702	1000BS		census after	models	2	
11:34:02.835	50.702	1000BS		census after	sets	61	
11:34:02.837	50.703	1000BS		census after	tests	0	
11:34:02.837	50.704	1000BS		census after	results	0	
11:34:02.839	50.705	1000BS		census after	views	12	
11:34:02.841	50.707	1000BS		step finished	SETS	0.21	61 created, 0 already there, 7 finding items, 54 at zero.
11:34:02.920	50.786	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
11:34:02.922	50.788	1000BS	TESTS CREATE	census before	models	2	
11:34:02.923	50.789	1000BS	TESTS CREATE	census before	sets	61	
11:34:02.924	50.790	1000BS	TESTS CREATE	census before	tests	0	
11:34:02.924	50.791	1000BS	TESTS CREATE	census before	results	0	
11:34:02.925	50.791	1000BS	TESTS CREATE	census before	views	12	
11:34:02.952	50.818	1000BS	TESTS CREATE	test created	BLD-AR-Walls-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:34:02.959	50.825	1000BS		census after	models	2	
11:34:02.960	50.825	1000BS		census after	sets	61	
11:34:02.960	50.826	1000BS		census after	tests	1	
11:34:02.961	50.827	1000BS		census after	results	0	
11:34:02.962	50.828	1000BS		census after	views	12	
11:34:02.964	50.830	1000BS		step finished	TESTS CREATE	0.038	BLD-AR-Walls-vs-BLD-AR-Ceilings
