time	seconds	group	step	event	name	number	text
21:22:05.092	521.431	1000BS	DECIDE	step started	DECIDE	0	
21:22:05.097	521.437	1000BS	DECIDE	census before	models	0	
21:22:05.099	521.438	1000BS	DECIDE	census before	sets	0	
21:22:05.101	521.440	1000BS	DECIDE	census before	tests	0	
21:22:05.101	521.441	1000BS	DECIDE	census before	results	0	
21:22:05.103	521.442	1000BS	DECIDE	census before	views	0	
21:22:05.169	521.508	1000BS		census after	models	0	
21:22:05.171	521.510	1000BS		census after	sets	0	
21:22:05.172	521.511	1000BS		census after	tests	0	
21:22:05.173	521.513	1000BS		census after	results	0	
21:22:05.174	521.514	1000BS		census after	views	0	
21:22:05.180	521.519	1000BS		step finished	DECIDE	0.075	First run
21:22:05.195	521.534	1000BS	APPEND	step started	APPEND	0	
21:22:05.204	521.543	1000BS	APPEND	census before	models	0	
21:22:05.205	521.544	1000BS	APPEND	census before	sets	0	
21:22:05.206	521.544	1000BS	APPEND	census before	tests	0	
21:22:05.206	521.545	1000BS	APPEND	census before	results	0	
21:22:05.207	521.546	1000BS	APPEND	census before	views	0	
21:22:05.309	521.648	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
21:22:05.356	521.695	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
21:22:05.366	521.705	1000BS		census after	models	2	
21:22:05.367	521.706	1000BS		census after	sets	0	
21:22:05.367	521.706	1000BS		census after	tests	0	
21:22:05.368	521.707	1000BS		census after	results	0	
21:22:05.369	521.708	1000BS		census after	views	12	
21:22:05.375	521.714	1000BS		step finished	APPEND	0.171	2 of 2 appended
21:22:05.378	521.717	1000BS	NWF SAVE	step started	NWF SAVE	0	
21:22:05.380	521.719	1000BS	NWF SAVE	census before	models	2	
21:22:05.381	521.720	1000BS	NWF SAVE	census before	sets	0	
21:22:05.382	521.721	1000BS	NWF SAVE	census before	tests	0	
21:22:05.382	521.722	1000BS	NWF SAVE	census before	results	0	
21:22:05.383	521.722	1000BS	NWF SAVE	census before	views	12	
21:22:05.519	521.858	1000BS	NWF SAVE	written	NWF	4057	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\wiring-run\\NWF\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
21:22:05.522	521.860	1000BS		census after	models	2	
21:22:05.522	521.861	1000BS		census after	sets	0	
21:22:05.523	521.862	1000BS		census after	tests	0	
21:22:05.523	521.863	1000BS		census after	results	0	
21:22:05.524	521.863	1000BS		census after	views	12	
21:22:05.526	521.865	1000BS		step finished	NWF SAVE	0.144	saved 4057 bytes
21:22:05.530	521.870	1000BS	UNITS	step started	UNITS	0	
21:22:05.532	521.872	1000BS	UNITS	census before	models	2	
21:22:05.533	521.873	1000BS	UNITS	census before	sets	0	
21:22:05.534	521.873	1000BS	UNITS	census before	tests	0	
21:22:05.535	521.874	1000BS	UNITS	census before	results	0	
21:22:05.535	521.875	1000BS	UNITS	census before	views	12	
21:22:05.602	521.941	1000BS		census after	models	2	
21:22:05.602	521.942	1000BS		census after	sets	0	
21:22:05.603	521.942	1000BS		census after	tests	0	
21:22:05.604	521.943	1000BS		census after	results	0	
21:22:05.604	521.944	1000BS		census after	views	12	
21:22:05.606	521.946	1000BS		step finished	UNITS	0.071	the document was asked for Meters
21:22:05.611	521.950	1000BS	SETS	step started	SETS	0	
21:22:05.613	521.953	1000BS	SETS	census before	models	2	
21:22:05.614	521.953	1000BS	SETS	census before	sets	0	
21:22:05.615	521.954	1000BS	SETS	census before	tests	0	
21:22:05.616	521.955	1000BS	SETS	census before	results	0	
21:22:05.616	521.956	1000BS	SETS	census before	views	12	
21:22:05.831	522.170	1000BS		census after	models	2	
21:22:05.832	522.171	1000BS		census after	sets	61	
21:22:05.833	522.172	1000BS		census after	tests	0	
21:22:05.834	522.172	1000BS		census after	results	0	
21:22:05.834	522.173	1000BS		census after	views	12	
21:22:05.836	522.175	1000BS		step finished	SETS	0.22	61 created, 0 already there, 7 finding items, 54 at zero.
21:22:05.918	522.257	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
21:22:05.920	522.259	1000BS	TESTS CREATE	census before	models	2	
21:22:05.920	522.260	1000BS	TESTS CREATE	census before	sets	61	
21:22:05.922	522.261	1000BS	TESTS CREATE	census before	tests	0	
21:22:05.923	522.262	1000BS	TESTS CREATE	census before	results	0	
21:22:05.923	522.262	1000BS	TESTS CREATE	census before	views	12	
21:22:05.952	522.290	1000BS	TESTS CREATE	test created	BLD-AR-Walls-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:05.967	522.306	1000BS		census after	models	2	
21:22:05.967	522.307	1000BS		census after	sets	61	
21:22:05.968	522.307	1000BS		census after	tests	1	
21:22:05.970	522.308	1000BS		census after	results	0	
21:22:05.970	522.309	1000BS		census after	views	12	
21:22:05.984	522.323	1000BS		step finished	TESTS CREATE	0.048	BLD-AR-Walls-vs-BLD-AR-Ceilings
21:22:06.038	522.376	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.086	522.425	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.114	522.454	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.146	522.486	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.192	522.531	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.223	522.562	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.255	522.594	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.285	522.625	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.317	522.656	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.347	522.686	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.378	522.718	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.409	522.749	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.441	522.780	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.471	522.811	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.502	522.841	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.534	522.873	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
21:22:06.564	522.903	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
