time	seconds	group	step	event	name	number	text
14:25:34.920	82.770	1000BS	DECIDE	step started	DECIDE	0	
14:25:34.926	82.775	1000BS	DECIDE	census before	models	0	
14:25:34.927	82.776	1000BS	DECIDE	census before	sets	0	
14:25:34.928	82.778	1000BS	DECIDE	census before	tests	0	
14:25:34.930	82.779	1000BS	DECIDE	census before	results	0	
14:25:34.931	82.780	1000BS	DECIDE	census before	views	0	
14:25:35.629	83.477	1000BS		census after	models	2	
14:25:35.630	83.479	1000BS		census after	sets	61	
14:25:35.631	83.480	1000BS		census after	tests	21	
14:25:35.633	83.482	1000BS		census after	results	0	
14:25:35.634	83.483	1000BS		census after	views	12	
14:25:35.639	83.488	1000BS		step finished	DECIDE	0.711	Weekly run plus XML
14:25:35.647	83.496	1000BS	UNITS	step started	UNITS	0	
14:25:35.649	83.498	1000BS	UNITS	census before	models	2	
14:25:35.650	83.499	1000BS	UNITS	census before	sets	61	
14:25:35.650	83.500	1000BS	UNITS	census before	tests	21	
14:25:35.652	83.501	1000BS	UNITS	census before	results	0	
14:25:35.652	83.501	1000BS	UNITS	census before	views	12	
14:25:35.681	83.530	1000BS		census after	models	2	
14:25:35.682	83.531	1000BS		census after	sets	61	
14:25:35.683	83.531	1000BS		census after	tests	21	
14:25:35.684	83.532	1000BS		census after	results	0	
14:25:35.684	83.533	1000BS		census after	views	12	
14:25:35.686	83.535	1000BS		step finished	UNITS	0.033	the document was asked for Meters
14:25:35.736	83.585	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	684686.56	Community-2-BS1
14:25:35.737	83.586	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	688556.56	Community-2-BS2
14:25:35.767	83.616	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	53	1 workset(s), element id 100%
14:25:35.768	83.617	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	53	1 workset(s), element id 100%
14:25:35.774	83.623	1000BS	SETS	step started	SETS	0	
14:25:35.780	83.629	1000BS	SETS	census before	models	2	
14:25:35.781	83.630	1000BS	SETS	census before	sets	61	
14:25:35.782	83.631	1000BS	SETS	census before	tests	21	
14:25:35.783	83.631	1000BS	SETS	census before	results	0	
14:25:35.784	83.632	1000BS	SETS	census before	views	12	
14:25:35.941	83.790	1000BS		census after	models	2	
14:25:35.942	83.790	1000BS		census after	sets	61	
14:25:35.942	83.791	1000BS		census after	tests	21	
14:25:35.943	83.792	1000BS		census after	results	0	
14:25:35.944	83.793	1000BS		census after	views	12	
14:25:35.946	83.795	1000BS		step finished	SETS	0.167	0 created, 61 already there, 0 finding items, 0 at zero.
14:25:36.224	84.073	1000BS	VIEWS	step started	VIEWS	0	
14:25:36.226	84.076	1000BS	VIEWS	census before	models	2	
14:25:36.228	84.076	1000BS	VIEWS	census before	sets	61	
14:25:36.228	84.077	1000BS	VIEWS	census before	tests	21	
14:25:36.229	84.078	1000BS	VIEWS	census before	results	0	
14:25:36.230	84.078	1000BS	VIEWS	census before	views	12	
14:25:36.263	84.112	1000BS		census after	models	2	
14:25:36.264	84.113	1000BS		census after	sets	61	
14:25:36.265	84.114	1000BS		census after	tests	21	
14:25:36.265	84.115	1000BS		census after	results	0	
14:25:36.266	84.115	1000BS		census after	views	12	
14:25:36.269	84.118	1000BS		step finished	VIEWS	0.038	No viewpoint was planned for this group.
14:25:36.313	84.162	1000BS	WORKBOOK	step started	WORKBOOK	0	
14:25:36.317	84.165	1000BS	WORKBOOK	census before	models	2	
14:25:36.318	84.166	1000BS	WORKBOOK	census before	sets	61	
14:25:36.318	84.167	1000BS	WORKBOOK	census before	tests	21	
14:25:36.319	84.167	1000BS	WORKBOOK	census before	results	0	
14:25:36.320	84.168	1000BS	WORKBOOK	census before	views	12	
14:25:44.889	92.738	1000BS	WORKBOOK	written	XLSX	471819	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\Clash Report\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.xlsx
14:25:45.843	93.691	1000BS		census after	models	2	
14:25:45.843	93.692	1000BS		census after	sets	61	
14:25:45.844	93.693	1000BS		census after	tests	21	
14:25:45.845	93.693	1000BS		census after	results	0	
14:25:45.845	93.694	1000BS		census after	views	12	
14:25:45.848	93.697	1000BS		step finished	WORKBOOK	9.528	wrote 471819 bytes
14:25:45.851	93.699	1000BS	HTML	step started	HTML	0	
14:25:45.853	93.702	1000BS	HTML	census before	models	2	
14:25:45.854	93.703	1000BS	HTML	census before	sets	61	
14:25:45.855	93.703	1000BS	HTML	census before	tests	21	
14:25:45.855	93.704	1000BS	HTML	census before	results	0	
14:25:45.856	93.705	1000BS	HTML	census before	views	12	
14:25:45.983	93.832	1000BS	HTML	written	HTML	2683307	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\Clash Report\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.html
14:25:46.132	93.981	1000BS		census after	models	2	
14:25:46.133	93.982	1000BS		census after	sets	61	
14:25:46.133	93.982	1000BS		census after	tests	21	
14:25:46.134	93.983	1000BS		census after	results	0	
14:25:46.134	93.984	1000BS		census after	views	12	
14:25:46.138	93.986	1000BS		step finished	HTML	0.281	wrote 2683307 bytes
14:25:46.142	93.990	1000BS	NWD	step started	NWD	0	
14:25:46.144	93.993	1000BS	NWD	census before	models	2	
14:25:46.145	93.994	1000BS	NWD	census before	sets	61	
14:25:46.145	93.994	1000BS	NWD	census before	tests	21	
14:25:46.146	93.995	1000BS	NWD	census before	results	0	
14:25:46.147	93.996	1000BS	NWD	census before	views	12	
14:25:46.239	94.089	1000BS	NWD	written	NWD	249145	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWD\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwd
14:25:46.242	94.091	1000BS		census after	models	2	
14:25:46.243	94.092	1000BS		census after	sets	61	
14:25:46.244	94.093	1000BS		census after	tests	21	
14:25:46.244	94.094	1000BS		census after	results	0	
14:25:46.245	94.094	1000BS		census after	views	12	
14:25:46.247	94.097	1000BS		step finished	NWD	0.101	published 249145 bytes
14:25:46.250	94.100	1000BS	CONFIRM	step started	CONFIRM	0	
14:25:46.253	94.102	1000BS	CONFIRM	census before	models	2	
14:25:46.253	94.103	1000BS	CONFIRM	census before	sets	61	
14:25:46.254	94.104	1000BS	CONFIRM	census before	tests	21	
14:25:46.255	94.104	1000BS	CONFIRM	census before	results	0	
14:25:46.256	94.105	1000BS	CONFIRM	census before	views	12	
14:25:46.279	94.128	1000BS		census after	models	2	
14:25:46.279	94.129	1000BS		census after	sets	61	
14:25:46.280	94.129	1000BS		census after	tests	21	
14:25:46.281	94.130	1000BS		census after	results	0	
14:25:46.281	94.131	1000BS		census after	views	12	
14:25:46.342	94.191	1000BS		step finished	CONFIRM	0.028	the NWF is 13091 bytes
14:25:46.363	94.212			group finished	1000BS	11.493	DONE Weekly run plus XML
14:25:46.391	94.241			timing	WORKBOOK	9.528	1 visits
14:25:46.392	94.241			timing	DECIDE	0.711	1 visits
14:25:46.393	94.242			timing	HTML	0.281	1 visits
14:25:46.394	94.243			timing	SETS	0.167	1 visits
14:25:46.394	94.244			timing	NWD	0.101	1 visits
14:25:46.396	94.244			timing	VIEWS	0.038	1 visits
14:25:46.397	94.245			timing	UNITS	0.033	1 visits
14:25:46.398	94.246			timing	CONFIRM	0.028	1 visits
14:25:46.451	94.300	1A0215	DECIDE	step started	DECIDE	0	
14:25:46.454	94.303	1A0215	DECIDE	census before	models	0	
14:25:46.455	94.303	1A0215	DECIDE	census before	sets	0	
14:25:46.455	94.304	1A0215	DECIDE	census before	tests	0	
14:25:46.456	94.305	1A0215	DECIDE	census before	results	0	
14:25:46.457	94.306	1A0215	DECIDE	census before	views	0	
14:25:47.521	95.370	1A0215		census after	models	3	
14:25:47.522	95.371	1A0215		census after	sets	62	
14:25:47.523	95.371	1A0215		census after	tests	1830	
14:25:47.523	95.372	1A0215		census after	results	0	
14:25:47.524	95.373	1A0215		census after	views	20	
14:25:47.526	95.376	1A0215		step finished	DECIDE	1.084	Weekly run plus XML
14:25:47.534	95.384	1A0215	UNITS	step started	UNITS	0	
14:25:47.538	95.388	1A0215	UNITS	census before	models	3	
14:25:47.540	95.389	1A0215	UNITS	census before	sets	62	
14:25:47.540	95.389	1A0215	UNITS	census before	tests	1830	
14:25:47.541	95.390	1A0215	UNITS	census before	results	0	
14:25:47.542	95.391	1A0215	UNITS	census before	views	20	
14:25:47.764	95.613	1A0215		census after	models	3	
14:25:47.765	95.613	1A0215		census after	sets	62	
14:25:47.765	95.614	1A0215		census after	tests	1830	
14:25:47.766	95.615	1A0215		census after	results	0	
14:25:47.767	95.615	1A0215		census after	views	20	
14:25:47.769	95.618	1A0215		step finished	UNITS	0.221	the document was asked for Meters
14:25:47.788	95.636	1A0215		model placement	1104-PAR-1A0215-ZZZ-LS-MOD-000001.nwc	675666.8	Mukaab
14:25:47.788	95.637	1A0215		model placement	1104-PAR-1A0215-ZZZ-LT-MOD-000001.nwc	675666.8	Default Site
14:25:47.789	95.638	1A0215		model placement	1104-PAR-1A0215-ZZZ-SW-MOD-000001.nwc	675666.8	Default Site
14:25:48.171	96.020	1A0215		model export	1104-PAR-1A0215-ZZZ-LS-MOD-000001.nwc	8674	4 workset(s), element id 100%
14:25:48.171	96.021	1A0215		model export	1104-PAR-1A0215-ZZZ-LT-MOD-000001.nwc	279	2 workset(s), element id 100%
14:25:48.173	96.021	1A0215		model export	1104-PAR-1A0215-ZZZ-SW-MOD-000001.nwc	229	1 workset(s), element id 100%
14:25:48.177	96.025	1A0215	SETS	step started	SETS	0	
14:25:48.184	96.033	1A0215	SETS	census before	models	3	
14:25:48.185	96.034	1A0215	SETS	census before	sets	62	
14:25:48.185	96.034	1A0215	SETS	census before	tests	1830	
14:25:48.186	96.035	1A0215	SETS	census before	results	0	
14:25:48.187	96.036	1A0215	SETS	census before	views	20	
14:25:49.863	97.712	1A0215		census after	models	3	
14:25:49.865	97.713	1A0215		census after	sets	62	
14:25:49.865	97.714	1A0215		census after	tests	1830	
14:25:49.865	97.715	1A0215		census after	results	0	
14:25:49.866	97.715	1A0215		census after	views	20	
14:25:49.869	97.718	1A0215		step finished	SETS	1.685	0 created, 61 already there, 0 finding items, 0 at zero.
14:25:50.307	98.156	1A0215	TESTS RUN	step started	TESTS RUN	0	
14:25:50.316	98.164	1A0215	TESTS RUN	census before	models	3	
14:25:50.317	98.166	1A0215	TESTS RUN	census before	sets	62	
14:25:50.318	98.166	1A0215	TESTS RUN	census before	tests	1830	
14:25:50.319	98.167	1A0215	TESTS RUN	census before	results	0	
14:25:50.319	98.168	1A0215	TESTS RUN	census before	views	20	
14:25:50.512	98.361	1A0215		census after	models	3	
14:25:50.514	98.362	1A0215		census after	sets	62	
14:25:50.514	98.363	1A0215		census after	tests	1830	
14:25:50.515	98.364	1A0215		census after	results	0	
14:25:50.516	98.364	1A0215		census after	views	20	
