time	seconds	group	step	event	name	number	text
16:21:42.036	95.911	1000BS	DECIDE	step started	DECIDE	0	
16:21:42.041	95.916	1000BS	DECIDE	census before	models	0	
16:21:42.042	95.917	1000BS	DECIDE	census before	sets	0	
16:21:42.044	95.918	1000BS	DECIDE	census before	tests	0	
16:21:42.045	95.919	1000BS	DECIDE	census before	results	0	
16:21:42.047	95.921	1000BS	DECIDE	census before	views	0	
16:21:42.707	96.582	1000BS		census after	models	2	
16:21:42.710	96.585	1000BS		census after	sets	61	
16:21:42.711	96.586	1000BS		census after	tests	21	
16:21:42.713	96.588	1000BS		census after	results	0	
16:21:42.713	96.588	1000BS		census after	views	12	
16:21:42.719	96.593	1000BS		step finished	DECIDE	0.667	Weekly run plus XML
16:21:42.734	96.608	1000BS	UNITS	step started	UNITS	0	
16:21:42.736	96.610	1000BS	UNITS	census before	models	2	
16:21:42.737	96.611	1000BS	UNITS	census before	sets	61	
16:21:42.737	96.612	1000BS	UNITS	census before	tests	21	
16:21:42.737	96.612	1000BS	UNITS	census before	results	0	
16:21:42.739	96.613	1000BS	UNITS	census before	views	12	
16:21:42.771	96.646	1000BS		census after	models	2	
16:21:42.772	96.647	1000BS		census after	sets	61	
16:21:42.773	96.648	1000BS		census after	tests	21	
16:21:42.773	96.648	1000BS		census after	results	0	
16:21:42.774	96.649	1000BS		census after	views	12	
16:21:42.776	96.651	1000BS		step finished	UNITS	0.044	the document was asked for Meters
16:21:42.805	96.679	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	684686.56	Community-2-BS1
16:21:42.805	96.679	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	688556.56	Community-2-BS2
16:21:42.851	96.726	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	53	1 workset(s), element id 100%
16:21:42.852	96.726	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	53	1 workset(s), element id 100%
16:21:42.857	96.731	1000BS	SETS	step started	SETS	0	
16:21:42.859	96.734	1000BS	SETS	census before	models	2	
16:21:42.860	96.735	1000BS	SETS	census before	sets	61	
16:21:42.861	96.735	1000BS	SETS	census before	tests	21	
16:21:42.861	96.736	1000BS	SETS	census before	results	0	
16:21:42.862	96.737	1000BS	SETS	census before	views	12	
16:21:43.018	96.893	1000BS		census after	models	2	
16:21:43.019	96.894	1000BS		census after	sets	61	
16:21:43.020	96.894	1000BS		census after	tests	21	
16:21:43.021	96.895	1000BS		census after	results	0	
16:21:43.021	96.896	1000BS		census after	views	12	
16:21:43.024	96.898	1000BS		step finished	SETS	0.161	0 created, 61 already there, 0 finding items, 0 at zero.
16:21:43.309	97.184	1000BS	VIEWS	step started	VIEWS	0	
16:21:43.312	97.187	1000BS	VIEWS	census before	models	2	
16:21:43.313	97.187	1000BS	VIEWS	census before	sets	61	
16:21:43.313	97.188	1000BS	VIEWS	census before	tests	21	
16:21:43.314	97.189	1000BS	VIEWS	census before	results	0	
16:21:43.315	97.190	1000BS	VIEWS	census before	views	12	
16:21:43.357	97.232	1000BS		census after	models	2	
16:21:43.358	97.233	1000BS		census after	sets	61	
16:21:43.359	97.233	1000BS		census after	tests	21	
16:21:43.360	97.234	1000BS		census after	results	0	
16:21:43.360	97.235	1000BS		census after	views	12	
16:21:43.363	97.237	1000BS		step finished	VIEWS	0.035	No viewpoint was planned for this group.
16:21:43.398	97.272	1000BS	WORKBOOK	step started	WORKBOOK	0	
16:21:43.400	97.275	1000BS	WORKBOOK	census before	models	2	
16:21:43.401	97.275	1000BS	WORKBOOK	census before	sets	61	
16:21:43.402	97.276	1000BS	WORKBOOK	census before	tests	21	
16:21:43.403	97.277	1000BS	WORKBOOK	census before	results	0	
16:21:43.403	97.278	1000BS	WORKBOOK	census before	views	12	
16:21:56.610	110.488	1000BS	WORKBOOK	written	XLSX	471819	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\Clash Report\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.xlsx
16:22:00.515	114.389	1000BS		census after	models	2	
16:22:00.515	114.390	1000BS		census after	sets	61	
16:22:00.516	114.391	1000BS		census after	tests	21	
16:22:00.517	114.392	1000BS		census after	results	0	
16:22:00.518	114.393	1000BS		census after	views	12	
16:22:00.523	114.398	1000BS		step finished	WORKBOOK	17.115	wrote 471819 bytes
16:22:00.527	114.402	1000BS	HTML	step started	HTML	0	
16:22:00.531	114.406	1000BS	HTML	census before	models	2	
16:22:00.532	114.407	1000BS	HTML	census before	sets	61	
16:22:00.532	114.407	1000BS	HTML	census before	tests	21	
16:22:00.533	114.408	1000BS	HTML	census before	results	0	
16:22:00.534	114.409	1000BS	HTML	census before	views	12	
16:22:00.732	114.607	1000BS	HTML	written	HTML	2683307	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\Clash Report\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.html
16:22:00.954	114.828	1000BS		census after	models	2	
16:22:00.954	114.829	1000BS		census after	sets	61	
16:22:00.955	114.830	1000BS		census after	tests	21	
16:22:00.956	114.831	1000BS		census after	results	0	
16:22:00.957	114.831	1000BS		census after	views	12	
16:22:00.960	114.834	1000BS		step finished	HTML	0.427	wrote 2683307 bytes
16:22:00.964	114.838	1000BS	NWD	step started	NWD	0	
16:22:00.967	114.841	1000BS	NWD	census before	models	2	
16:22:00.967	114.842	1000BS	NWD	census before	sets	61	
16:22:00.968	114.843	1000BS	NWD	census before	tests	21	
16:22:00.969	114.844	1000BS	NWD	census before	results	0	
16:22:00.969	114.844	1000BS	NWD	census before	views	12	
16:22:01.092	114.966	1000BS	NWD	written	NWD	249144	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWD\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwd
16:22:01.095	114.970	1000BS		census after	models	2	
16:22:01.096	114.970	1000BS		census after	sets	61	
16:22:01.097	114.971	1000BS		census after	tests	21	
16:22:01.097	114.972	1000BS		census after	results	0	
16:22:01.098	114.973	1000BS		census after	views	12	
16:22:01.101	114.975	1000BS		step finished	NWD	0.13	published 249144 bytes
16:22:01.104	114.978	1000BS	CONFIRM	step started	CONFIRM	0	
16:22:01.106	114.981	1000BS	CONFIRM	census before	models	2	
16:22:01.107	114.982	1000BS	CONFIRM	census before	sets	61	
16:22:01.108	114.982	1000BS	CONFIRM	census before	tests	21	
16:22:01.109	114.983	1000BS	CONFIRM	census before	results	0	
16:22:01.109	114.984	1000BS	CONFIRM	census before	views	12	
16:22:01.129	115.004	1000BS		census after	models	2	
16:22:01.130	115.004	1000BS		census after	sets	61	
16:22:01.131	115.005	1000BS		census after	tests	21	
16:22:01.132	115.006	1000BS		census after	results	0	
16:22:01.133	115.007	1000BS		census after	views	12	
16:22:01.135	115.010	1000BS		step finished	CONFIRM	0.025	the NWF is 13091 bytes
16:22:01.161	115.036			group finished	1000BS	19.161	DONE Weekly run plus XML
16:22:01.196	115.071			timing	WORKBOOK	17.115	1 visits
16:22:01.197	115.071			timing	DECIDE	0.667	1 visits
16:22:01.198	115.072			timing	HTML	0.427	1 visits
16:22:01.199	115.073			timing	SETS	0.161	1 visits
16:22:01.200	115.074			timing	NWD	0.13	1 visits
16:22:01.200	115.075			timing	UNITS	0.044	1 visits
16:22:01.201	115.075			timing	VIEWS	0.035	1 visits
16:22:01.202	115.076			timing	CONFIRM	0.025	1 visits
16:22:01.242	115.117	1A0215	DECIDE	step started	DECIDE	0	
16:22:01.246	115.120	1A0215	DECIDE	census before	models	0	
16:22:01.246	115.121	1A0215	DECIDE	census before	sets	0	
16:22:01.247	115.121	1A0215	DECIDE	census before	tests	0	
16:22:01.247	115.122	1A0215	DECIDE	census before	results	0	
16:22:01.248	115.123	1A0215	DECIDE	census before	views	0	
16:22:02.357	116.232	1A0215		census after	models	3	
16:22:02.358	116.233	1A0215		census after	sets	62	
16:22:02.359	116.233	1A0215		census after	tests	1830	
16:22:02.359	116.234	1A0215		census after	results	0	
16:22:02.360	116.235	1A0215		census after	views	20	
16:22:02.363	116.238	1A0215		step finished	DECIDE	1.099	Weekly run plus XML
16:22:02.372	116.247	1A0215	UNITS	step started	UNITS	0	
16:22:02.377	116.252	1A0215	UNITS	census before	models	3	
16:22:02.378	116.252	1A0215	UNITS	census before	sets	62	
16:22:02.378	116.253	1A0215	UNITS	census before	tests	1830	
16:22:02.379	116.254	1A0215	UNITS	census before	results	0	
16:22:02.380	116.255	1A0215	UNITS	census before	views	20	
16:22:02.599	116.474	1A0215		census after	models	3	
16:22:02.600	116.475	1A0215		census after	sets	62	
16:22:02.601	116.475	1A0215		census after	tests	1830	
16:22:02.602	116.476	1A0215		census after	results	0	
16:22:02.603	116.477	1A0215		census after	views	20	
16:22:02.605	116.480	1A0215		step finished	UNITS	0.225	the document was asked for Meters
16:22:02.655	116.529	1A0215		model placement	1104-PAR-1A0215-ZZZ-LS-MOD-000001.nwc	675666.8	Mukaab
16:22:02.655	116.530	1A0215		model placement	1104-PAR-1A0215-ZZZ-LT-MOD-000001.nwc	675666.8	Default Site
16:22:02.656	116.530	1A0215		model placement	1104-PAR-1A0215-ZZZ-SW-MOD-000001.nwc	675666.8	Default Site
16:22:03.074	116.948	1A0215		model export	1104-PAR-1A0215-ZZZ-LS-MOD-000001.nwc	8674	4 workset(s), element id 100%
16:22:03.074	116.949	1A0215		model export	1104-PAR-1A0215-ZZZ-LT-MOD-000001.nwc	279	2 workset(s), element id 100%
16:22:03.075	116.950	1A0215		model export	1104-PAR-1A0215-ZZZ-SW-MOD-000001.nwc	229	1 workset(s), element id 100%
16:22:03.080	116.955	1A0215	SETS	step started	SETS	0	
16:22:03.086	116.960	1A0215	SETS	census before	models	3	
16:22:03.086	116.961	1A0215	SETS	census before	sets	62	
16:22:03.087	116.961	1A0215	SETS	census before	tests	1830	
16:22:03.088	116.962	1A0215	SETS	census before	results	0	
16:22:03.088	116.963	1A0215	SETS	census before	views	20	
16:22:05.529	119.404	1A0215		census after	models	3	
16:22:05.530	119.404	1A0215		census after	sets	62	
16:22:05.531	119.405	1A0215		census after	tests	1830	
16:22:05.532	119.406	1A0215		census after	results	0	
16:22:05.532	119.407	1A0215		census after	views	20	
16:22:05.536	119.411	1A0215		step finished	SETS	2.446	0 created, 61 already there, 0 finding items, 0 at zero.
16:22:06.060	119.935	1A0215	TESTS RUN	step started	TESTS RUN	0	
16:22:06.065	119.940	1A0215	TESTS RUN	census before	models	3	
16:22:06.066	119.941	1A0215	TESTS RUN	census before	sets	62	
16:22:06.067	119.942	1A0215	TESTS RUN	census before	tests	1830	
16:22:06.067	119.942	1A0215	TESTS RUN	census before	results	0	
16:22:06.068	119.943	1A0215	TESTS RUN	census before	views	20	
16:22:06.219	120.093	1A0215		census after	models	3	
16:22:06.220	120.094	1A0215		census after	sets	62	
16:22:06.221	120.095	1A0215		census after	tests	1830	
16:22:06.221	120.096	1A0215		census after	results	0	
16:22:06.222	120.097	1A0215		census after	views	20	
16:22:06.226	120.102	1A0215		step finished	TESTS RUN	0.153	BLD-EL-Lighting Fixtures-vs-BLD-AR-Furniture
16:22:06.234	120.109	1A0215	HARVEST	step started	HARVEST	0	
16:22:06.248	120.123	1A0215	HARVEST	census before	models	3	
16:22:06.249	120.124	1A0215	HARVEST	census before	sets	62	
16:22:06.250	120.125	1A0215	HARVEST	census before	tests	1830	
16:22:06.251	120.126	1A0215	HARVEST	census before	results	0	
16:22:06.251	120.126	1A0215	HARVEST	census before	views	20	
16:22:06.273	120.148	1A0215		census after	models	3	
16:22:06.274	120.148	1A0215		census after	sets	62	
16:22:06.275	120.149	1A0215		census after	tests	1830	
16:22:06.276	120.150	1A0215		census after	results	0	
16:22:06.276	120.150	1A0215		census after	views	20	
16:22:06.279	120.154	1A0215		step finished	HARVEST	0.033	BLD-EL-Lighting Fixtures-vs-BLD-AR-Furniture
16:22:06.280	120.155	1A0215		rows for the workbook	BLD-EL-Lighting Fixtures-vs-BLD-AR-Furniture	0	0 in the document
16:22:06.285	120.160	1A0215		test passed	BLD-EL-Lighting Fixtures-vs-BLD-AR-Furniture	0	ran and found nothing
16:22:06.694	120.569	1A0215	VIEWS	step started	VIEWS	0	
16:22:06.704	120.578	1A0215	VIEWS	census before	models	3	
16:22:06.704	120.579	1A0215	VIEWS	census before	sets	62	
16:22:06.705	120.580	1A0215	VIEWS	census before	tests	1830	
16:22:06.706	120.580	1A0215	VIEWS	census before	results	0	
16:22:06.707	120.581	1A0215	VIEWS	census before	views	20	
16:22:06.730	120.605	1A0215		census after	models	3	
16:22:06.731	120.606	1A0215		census after	sets	62	
16:22:06.732	120.607	1A0215		census after	tests	1830	
16:22:06.732	120.607	1A0215		census after	results	0	
16:22:06.733	120.608	1A0215		census after	views	20	
16:22:06.737	120.612	1A0215		step finished	VIEWS	0.033	No viewpoint was planned for this group.
16:22:06.785	120.659	1A0215	NWF SAVE	step started	NWF SAVE	0	
16:22:06.795	120.670	1A0215	NWF SAVE	census before	models	3	
16:22:06.796	120.671	1A0215	NWF SAVE	census before	sets	62	
16:22:06.797	120.672	1A0215	NWF SAVE	census before	tests	1830	
16:22:06.797	120.672	1A0215	NWF SAVE	census before	results	0	
16:22:06.799	120.673	1A0215	NWF SAVE	census before	views	20	
16:22:06.873	120.747	1A0215	NWF SAVE	written	NWF	78366	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWF\\1104-PAR-1A0215-ZZZ-BM-MOD-000001.nwf
16:22:06.878	120.753	1A0215		census after	models	3	
16:22:06.879	120.753	1A0215		census after	sets	62	
16:22:06.880	120.754	1A0215		census after	tests	1830	
16:22:06.880	120.755	1A0215		census after	results	0	
16:22:06.881	120.756	1A0215		census after	views	20	
16:22:06.884	120.759	1A0215		step finished	NWF SAVE	0.092	saved 78366 bytes
16:22:06.889	120.764	1A0215	WORKBOOK	step started	WORKBOOK	0	
16:22:06.893	120.768	1A0215	WORKBOOK	census before	models	3	
16:22:06.894	120.769	1A0215	WORKBOOK	census before	sets	62	
16:22:06.896	120.770	1A0215	WORKBOOK	census before	tests	1830	
16:22:06.896	120.771	1A0215	WORKBOOK	census before	results	0	
16:22:06.897	120.771	1A0215	WORKBOOK	census before	views	20	
