time	seconds	group	step	event	name	number	text
11:02:47.759	50.307	1000BS	DECIDE	step started	DECIDE	0	
11:02:47.765	50.313	1000BS	DECIDE	census before	models	0	
11:02:47.766	50.314	1000BS	DECIDE	census before	sets	0	
11:02:47.767	50.316	1000BS	DECIDE	census before	tests	0	
11:02:47.768	50.317	1000BS	DECIDE	census before	results	0	
11:02:47.770	50.319	1000BS	DECIDE	census before	views	0	
11:02:47.837	50.385	1000BS		census after	models	0	
11:02:47.838	50.387	1000BS		census after	sets	0	
11:02:47.839	50.388	1000BS		census after	tests	0	
11:02:47.841	50.390	1000BS		census after	results	0	
11:02:47.842	50.391	1000BS		census after	views	0	
11:02:47.846	50.395	1000BS		step finished	DECIDE	0.077	First run
11:02:47.859	50.408	1000BS	APPEND	step started	APPEND	0	
11:02:47.861	50.410	1000BS	APPEND	census before	models	0	
11:02:47.862	50.411	1000BS	APPEND	census before	sets	0	
11:02:47.862	50.411	1000BS	APPEND	census before	tests	0	
11:02:47.863	50.412	1000BS	APPEND	census before	results	0	
11:02:47.864	50.413	1000BS	APPEND	census before	views	0	
11:02:48.032	50.580	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
11:02:48.073	50.622	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
11:02:48.081	50.630	1000BS		census after	models	2	
11:02:48.082	50.630	1000BS		census after	sets	0	
11:02:48.083	50.631	1000BS		census after	tests	0	
11:02:48.084	50.632	1000BS		census after	results	0	
11:02:48.085	50.633	1000BS		census after	views	12	
11:02:48.089	50.638	1000BS		step finished	APPEND	0.222	2 of 2 appended
11:02:48.091	50.640	1000BS	NWF SAVE	step started	NWF SAVE	0	
11:02:48.094	50.642	1000BS	NWF SAVE	census before	models	2	
11:02:48.094	50.643	1000BS	NWF SAVE	census before	sets	0	
11:02:48.095	50.644	1000BS	NWF SAVE	census before	tests	0	
11:02:48.096	50.644	1000BS	NWF SAVE	census before	results	0	
11:02:48.096	50.645	1000BS	NWF SAVE	census before	views	12	
11:02:48.236	50.784	1000BS	NWF SAVE	written	NWF	4063	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-dimming\\NWF2\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
11:02:48.238	50.787	1000BS		census after	models	2	
11:02:48.239	50.788	1000BS		census after	sets	0	
11:02:48.240	50.788	1000BS		census after	tests	0	
11:02:48.240	50.789	1000BS		census after	results	0	
11:02:48.241	50.790	1000BS		census after	views	12	
11:02:48.244	50.792	1000BS		step finished	NWF SAVE	0.146	saved 4063 bytes
11:02:48.248	50.796	1000BS	UNITS	step started	UNITS	0	
11:02:48.250	50.798	1000BS	UNITS	census before	models	2	
11:02:48.251	50.799	1000BS	UNITS	census before	sets	0	
11:02:48.251	50.800	1000BS	UNITS	census before	tests	0	
11:02:48.252	50.800	1000BS	UNITS	census before	results	0	
11:02:48.253	50.801	1000BS	UNITS	census before	views	12	
11:02:48.303	50.851	1000BS		census after	models	2	
11:02:48.305	50.853	1000BS		census after	sets	0	
11:02:48.305	50.853	1000BS		census after	tests	0	
11:02:48.306	50.854	1000BS		census after	results	0	
11:02:48.307	50.855	1000BS		census after	views	12	
11:02:48.309	50.857	1000BS		step finished	UNITS	0.038	the document was asked for Meters
11:02:48.314	50.862	1000BS	SETS	step started	SETS	0	
11:02:48.316	50.864	1000BS	SETS	census before	models	2	
11:02:48.316	50.865	1000BS	SETS	census before	sets	0	
11:02:48.317	50.866	1000BS	SETS	census before	tests	0	
11:02:48.318	50.867	1000BS	SETS	census before	results	0	
11:02:48.319	50.867	1000BS	SETS	census before	views	12	
11:02:48.549	51.097	1000BS		census after	models	2	
11:02:48.550	51.098	1000BS		census after	sets	61	
11:02:48.551	51.099	1000BS		census after	tests	0	
11:02:48.551	51.099	1000BS		census after	results	0	
11:02:48.552	51.100	1000BS		census after	views	12	
11:02:48.554	51.102	1000BS		step finished	SETS	0.234	61 created, 0 already there, 7 finding items, 54 at zero.
11:02:48.661	51.209	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
11:02:48.662	51.212	1000BS	TESTS CREATE	census before	models	2	
11:02:48.664	51.212	1000BS	TESTS CREATE	census before	sets	61	
11:02:48.665	51.213	1000BS	TESTS CREATE	census before	tests	0	
11:02:48.665	51.214	1000BS	TESTS CREATE	census before	results	0	
11:02:48.666	51.215	1000BS	TESTS CREATE	census before	views	12	
11:02:48.700	51.249	1000BS	TESTS CREATE	test created	BLD-AR-Walls-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:48.720	51.269	1000BS		census after	models	2	
11:02:48.721	51.270	1000BS		census after	sets	61	
11:02:48.722	51.271	1000BS		census after	tests	1	
11:02:48.723	51.272	1000BS		census after	results	0	
11:02:48.724	51.272	1000BS		census after	views	12	
11:02:48.727	51.276	1000BS		step finished	TESTS CREATE	0.064	BLD-AR-Walls-vs-BLD-AR-Ceilings
11:02:48.801	51.349	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:48.878	51.426	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:48.957	51.505	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.035	51.583	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.128	51.677	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.207	51.755	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.271	51.820	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.349	51.897	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.408	51.957	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.484	52.032	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.515	52.064	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.546	52.096	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.579	52.127	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.609	52.158	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
11:02:49.640	52.189	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
