time	seconds	group	step	event	name	number	text
10:42:06.197	50.193	1000BS	DECIDE	step started	DECIDE	0	
10:42:06.201	50.198	1000BS	DECIDE	census before	models	0	
10:42:06.202	50.200	1000BS	DECIDE	census before	sets	0	
10:42:06.204	50.201	1000BS	DECIDE	census before	tests	0	
10:42:06.205	50.203	1000BS	DECIDE	census before	results	0	
10:42:06.208	50.204	1000BS	DECIDE	census before	views	0	
10:42:06.248	50.245	1000BS		census after	models	0	
10:42:06.250	50.247	1000BS		census after	sets	0	
10:42:06.251	50.248	1000BS		census after	tests	0	
10:42:06.253	50.250	1000BS		census after	results	0	
10:42:06.254	50.251	1000BS		census after	views	0	
10:42:06.258	50.255	1000BS		step finished	DECIDE	0.051	First run
10:42:06.271	50.268	1000BS	APPEND	step started	APPEND	0	
10:42:06.274	50.270	1000BS	APPEND	census before	models	0	
10:42:06.274	50.271	1000BS	APPEND	census before	sets	0	
10:42:06.275	50.272	1000BS	APPEND	census before	tests	0	
10:42:06.276	50.273	1000BS	APPEND	census before	results	0	
10:42:06.277	50.273	1000BS	APPEND	census before	views	0	
10:42:06.364	50.361	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
10:42:06.402	50.399	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
10:42:06.411	50.408	1000BS		census after	models	2	
10:42:06.412	50.408	1000BS		census after	sets	0	
10:42:06.412	50.409	1000BS		census after	tests	0	
10:42:06.413	50.410	1000BS		census after	results	0	
10:42:06.414	50.411	1000BS		census after	views	12	
10:42:06.418	50.415	1000BS		step finished	APPEND	0.14	2 of 2 appended
10:42:06.420	50.417	1000BS	NWF SAVE	step started	NWF SAVE	0	
10:42:06.422	50.419	1000BS	NWF SAVE	census before	models	2	
10:42:06.423	50.420	1000BS	NWF SAVE	census before	sets	0	
10:42:06.423	50.421	1000BS	NWF SAVE	census before	tests	0	
10:42:06.424	50.422	1000BS	NWF SAVE	census before	results	0	
10:42:06.424	50.422	1000BS	NWF SAVE	census before	views	12	
10:42:06.572	50.569	1000BS	NWF SAVE	written	NWF	4062	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-dimming\\NWF1\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
10:42:06.575	50.572	1000BS		census after	models	2	
10:42:06.576	50.573	1000BS		census after	sets	0	
10:42:06.577	50.573	1000BS		census after	tests	0	
10:42:06.577	50.574	1000BS		census after	results	0	
10:42:06.578	50.575	1000BS		census after	views	12	
10:42:06.580	50.577	1000BS		step finished	NWF SAVE	0.154	saved 4062 bytes
10:42:06.584	50.581	1000BS	UNITS	step started	UNITS	0	
10:42:06.586	50.583	1000BS	UNITS	census before	models	2	
10:42:06.586	50.583	1000BS	UNITS	census before	sets	0	
10:42:06.587	50.584	1000BS	UNITS	census before	tests	0	
10:42:06.589	50.585	1000BS	UNITS	census before	results	0	
10:42:06.589	50.586	1000BS	UNITS	census before	views	12	
10:42:06.633	50.629	1000BS		census after	models	2	
10:42:06.633	50.630	1000BS		census after	sets	0	
10:42:06.634	50.631	1000BS		census after	tests	0	
10:42:06.635	50.632	1000BS		census after	results	0	
10:42:06.636	50.633	1000BS		census after	views	12	
10:42:06.638	50.635	1000BS		step finished	UNITS	0.041	the document was asked for Meters
10:42:06.643	50.640	1000BS	SETS	step started	SETS	0	
10:42:06.646	50.642	1000BS	SETS	census before	models	2	
10:42:06.646	50.643	1000BS	SETS	census before	sets	0	
10:42:06.647	50.644	1000BS	SETS	census before	tests	0	
10:42:06.648	50.645	1000BS	SETS	census before	results	0	
10:42:06.648	50.645	1000BS	SETS	census before	views	12	
10:42:06.863	50.860	1000BS		census after	models	2	
10:42:06.864	50.861	1000BS		census after	sets	61	
10:42:06.865	50.861	1000BS		census after	tests	0	
10:42:06.865	50.862	1000BS		census after	results	0	
10:42:06.866	50.863	1000BS		census after	views	12	
10:42:06.869	50.866	1000BS		step finished	SETS	0.219	61 created, 0 already there, 7 finding items, 54 at zero.
10:42:06.958	50.955	1000BS	TESTS CREATE	step started	TESTS CREATE	0	
10:42:06.960	50.957	1000BS	TESTS CREATE	census before	models	2	
10:42:06.961	50.958	1000BS	TESTS CREATE	census before	sets	61	
10:42:06.962	50.959	1000BS	TESTS CREATE	census before	tests	0	
10:42:06.963	50.960	1000BS	TESTS CREATE	census before	results	0	
10:42:06.963	50.960	1000BS	TESTS CREATE	census before	views	12	
10:42:06.984	50.981	1000BS	TESTS CREATE	test created	BLD-AR-Walls-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.000	50.997	1000BS		census after	models	2	
10:42:07.001	50.997	1000BS		census after	sets	61	
10:42:07.001	50.998	1000BS		census after	tests	1	
10:42:07.002	50.999	1000BS		census after	results	0	
10:42:07.003	51.000	1000BS		census after	views	12	
10:42:07.005	51.002	1000BS		step finished	TESTS CREATE	0.049	BLD-AR-Walls-vs-BLD-AR-Ceilings
10:42:07.057	51.055	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.150	51.147	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Panels-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.197	51.194	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.261	51.257	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.353	51.351	1000BS	TESTS CREATE	test created	BLD-AR-Curtain Mullions-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.400	51.397	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.448	51.445	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.496	51.493	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.558	51.555	1000BS	TESTS CREATE	test created	BLD-AR-Doors-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.602	51.599	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.633	51.630	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.664	51.661	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.695	51.692	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.727	51.723	1000BS	TESTS CREATE	test created	BLD-AR-Furniture-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.756	51.753	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Ceilings	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.788	51.785	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Walls	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.820	51.817	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Curtain Panels	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.850	51.847	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Curtain Mullions	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.882	51.878	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Doors	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:07.911	51.909	1000BS	TESTS CREATE	test created	BLD-AR-Site-vs-BLD-AR-Furniture	0.082	hard_conservative, 25 mm chosen in the tool is 0.082020997375 ft
10:42:08.142	52.140	1000BS	VIEWS	step started	VIEWS	0	
10:42:08.145	52.142	1000BS	VIEWS	census before	models	2	
10:42:08.146	52.143	1000BS	VIEWS	census before	sets	61	
10:42:08.146	52.143	1000BS	VIEWS	census before	tests	21	
10:42:08.147	52.144	1000BS	VIEWS	census before	results	0	
10:42:08.148	52.145	1000BS	VIEWS	census before	views	12	
10:42:08.194	52.190	1000BS		census after	models	2	
